"ID_USER","USER_STATE","USER_TIMEZONE","ID_HOTEL","HOTEL_CITY","HOTEL_STATE","HOTEL_TIMEZONE","Trip Type","Rating"
"45","GA","Eastern","105170","Memphis","TN","Central","3","5"
"45","GA","Eastern","223229","SanAntonio","TX","Central","3","5"
"45","GA","Eastern","258688","Albuquerque","NM","Mountain","3","5"
"45","GA","Eastern","98827","ELPaso","TX","Central","3","5"
"45","GA","Eastern","99518","SanAntonio","TX","Central","3","3"
"64","TX","Central","224427","Cleveland","OH","Eastern","1","4"
"64","TX","Central","1751886","Austin","TX","Central","3","4"
"64","TX","Central","99120","Houston","TX","Central","3","4"
"100","NY","Eastern","120111","Jacksonville","FL","Eastern","2","5"
"100","NY","Eastern","91428","Indianapolis","IN","Eastern","2","4"
"100","NY","Eastern","109399","Dallas","TX","Central","3","3"
"100","NY","Eastern","98764","Albuquerque","NM","Mountain","4","3"
"149","OR","Pacific","240681","Phoenix","AZ","Mountain","1","3"
"149","OR","Pacific","73927","Phoenix","AZ","Mountain","1","3"
"149","OR","Pacific","100584","Seattle","WA","Pacific","2","1"
"159","TX","Central","98815","ELPaso","TX","Central","1","3"
"159","TX","Central","99055","Houston","TX","Central","2","4"
"159","TX","Central","92773","Louisville","KY","Eastern","3","4"
"198","VA","Eastern","74590","Phoenix","AZ","Mountain","3","4"
"198","VA","Eastern","75180","Tucson","AZ","Mountain","3","4"
"198","VA","Eastern","82689","LosAngeles","CA","Pacific","3","4"
"198","VA","Eastern","240001","ELPaso","TX","Central","3","4"
"215","TX","Central","95840","Tulsa","OK","Central","1","3"
"215","TX","Central","109010","Austin","TX","Central","3","4"
"215","TX","Central","240439","Houston","TX","Central","3","5"
"215","TX","Central","82636","LosAngeles","CA","Pacific","3","4"
"215","TX","Central","101848","OklahomaCity","OK","Central","4","5"
"221","CT","Eastern","222955","Boston","MA","Eastern","1","5"
"221","CT","Eastern","1199983","Arlington","TX","Central","3","5"
"221","CT","Eastern","1199983","Arlington","TX","Central","3","5"
"221","CT","Eastern","77016","Fresno","CA","Pacific","3","2"
"221","CT","Eastern","82689","LosAngeles","CA","Pacific","3","4"
"247","VA","Eastern","105522","Nashville","TN","Central","3","3"
"247","VA","Eastern","110420","VirginiaBeach","VA","Eastern","3","5"
"247","VA","Eastern","100566","Charlotte","NC","Eastern","4","4"
"349","TX","Central","114948","Dallas","TX","Central","3","4"
"349","TX","Central","224130","Dallas","TX","Central","3","4"
"349","TX","Central","252820","Austin","TX","Central","4","4"
"451","NV","Pacific","1158679","Phoenix","AZ","Mountain","2","3"
"451","NV","Pacific","75339","Tucson","AZ","Mountain","2","5"
"451","NV","Pacific","95265","Columbus","OH","Eastern","3","4"
"730","CA","Pacific","225010","Tucson","AZ","Mountain","3","4"
"730","CA","Pacific","119351","Phoenix","AZ","Mountain","3","4"
"730","CA","Pacific","1485459","Phoenix","AZ","Mountain","3","5"
"750","TX","Central","225032","ELPaso","TX","Central","5","3"
"750","TX","Central","241640","FortWorth","TX","Central","5","3"
"750","TX","Central","73644","Dallas","TX","Central","5","5"
"750","TX","Central","74507","Tucson","AZ","Mountain","5","3"
"750","TX","Central","82436","SanDiego","CA","Pacific","5","3"
"750","TX","Central","99540","SanAntonio","TX","Central","5","2"
"753","IL","Central","73810","Phoenix","AZ","Mountain","2","3"
"753","IL","Central","596431","Denver","CO","Mountain","3","4"
"753","IL","Central","223199","Charlotte","NC","Eastern","3","5"
"763","TX","Central","1762310","SanAntonio","TX","Central","1","5"
"763","TX","Central","195791","Miami","MI","Eastern","1","2"
"763","TX","Central","252442","Miami","MI","Eastern","1","4"
"843","CA","Pacific","295455","Portland","OR","Pacific","3","4"
